,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
23,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/5d475dc8-61e1-489a-a30c-80512a20b381,daily,1,2023-01-20T23:35:10.765Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
24,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/6fb5d5d5-f226-4d5d-8f61-b07c1977d1f0,daily,0,2023-01-20T23:15:20.898Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
25,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-lambda-dependencies,https://app.snyk.io/org/bedrock-1rn/project/31ddd21f-b325-4d63-b364-0036887922e9,daily,0,2023-01-20T21:58:18.212Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
26,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/336b5ab6-ce5e-4aa3-9e6c-dcc01b000f91,daily,166,2023-01-20T21:45:12.037Z,"IssueCounts(low=2, medium=7, high=5, critical=0)",True
27,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/d5ee1112-7ecd-4906-88db-1d21960936b9,daily,124,2023-01-20T21:40:35.758Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
28,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-app-config-service,https://app.snyk.io/org/bedrock-1rn/project/6564e5e2-6e92-46ec-a07b-d58e7079488f,daily,459,2023-01-20T21:03:29.414Z,"IssueCounts(low=2, medium=7, high=1, critical=0)",True
29,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/40a0bb2c-e3f6-4809-8353-2bd5eefab33b,daily,0,2023-01-20T20:24:12.834Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
30,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/690de88b-2ad7-42b4-90ae-3562654980d0,daily,93,2023-01-20T20:02:23.715Z,"IssueCounts(low=0, medium=0, high=1, critical=0)",True
31,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/698b30a1-c402-4a3b-9772-6743b98059a0,daily,1690,2023-01-20T19:59:46.455Z,"IssueCounts(low=1, medium=24, high=13, critical=0)",True
32,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/ccd9d20f-e1c8-4fd0-b6a9-d46e3370614c,daily,0,2023-01-20T19:18:08.405Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
33,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/a1bfab2e-5e70-493a-b33e-8d8eaba910b7,daily,0,2023-01-20T18:49:39.995Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
34,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/cee0888c-708f-424d-9144-df6e2eed8b9e,daily,209,2023-01-20T18:31:45.343Z,"IssueCounts(low=0, medium=3, high=1, critical=0)",True
35,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/28318f66-3721-4c00-a267-d7590c6f1117,daily,1,2023-01-20T18:25:57.328Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
36,bedrock-1rn,http://bitbucket.org/ninjafactory/fd-backend-service,https://app.snyk.io/org/bedrock-1rn/project/bcced9ff-e860-41bf-9a34-93efc8229307,daily,454,2023-01-20T17:45:43.576Z,"IssueCounts(low=1, medium=8, high=1, critical=0)",True
37,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/bb7f0f5f-5f62-4164-9cc7-237e8d249f3f,daily,5,2023-01-20T17:30:35.059Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
38,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/07a53a6f-0317-44cc-9f6b-91b3417ea2c5,daily,0,2023-01-20T17:28:11.416Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
39,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/25b32739-bc1e-40b4-80cc-05a630d5c9d7,daily,0,2023-01-20T17:06:44.191Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
40,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/9d9cc0ef-ed74-47a5-b42d-2d6842bb6fb6,daily,1,2023-01-20T16:40:42.841Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
41,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-appconfig-api,https://app.snyk.io/org/bedrock-1rn/project/4c0a0b20-0d86-45f5-bd35-a1578c9ead84,daily,443,2023-01-20T15:37:01.147Z,"IssueCounts(low=1, medium=7, high=1, critical=0)",True
